symbol,company_name,sector,industry,market_cap_today,date,open,high,low,close,adj_close,volume
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-04-07 04:00:00,124.97,150.96,123.74,144.94,143.655,82940800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-04-14 04:00:00,146.88,147.7,134.35,137.46,136.241,27869700
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-04-21 04:00:00,135.13,152.61,132.8,151.55,150.206,34026700
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-04-28 04:00:00,150.79,156.7,144.71,155.1,153.725,32862600
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-05-05 04:00:00,154.11,158.8,151.51,155.61,154.23,21748800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-05-12 04:00:00,166.44,176.38,161.92,165.57,164.102,57126000
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-05-19 04:00:00,162.54,166.29,155.66,157.51,156.113,30585800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-05-26 04:00:00,160.63,165.54,153.47,156.75,155.802,37316800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-06-02 04:00:00,155.79,169.53,155.43,166.74,165.732,31325600
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-06-09 04:00:00,167.81,175.79,167.81,170.59,169.558,27930400
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-06-16 04:00:00,173.02,178.32,165.91,169.46,168.435,36687800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-06-23 04:00:00,170.26,185.8,168.72,183.21,182.102,38927600
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-06-30 04:00:00,183.8,192.04,180.9,191.05,189.894,23012100
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-07-07 04:00:00,189.04,199.42,188.61,197.93,196.733,30498800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-07-14 04:00:00,195.61,201.11,189.75,190.44,189.288,33132200
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-07-21 04:00:00,190.79,194.4,184.1,185.69,184.567,28984400
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-07-28 04:00:00,189.01,192.45,174.51,179.99,178.901,33305500
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-08-04 04:00:00,182,186.8,175.48,184.87,183.752,26294100
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-08-11 04:00:00,187.15,191.14,161.71,161.76,160.782,62450500
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-08-18 04:00:00,161.81,165.2,157.94,162.49,161.507,44113600
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-08-25 04:00:00,162.31,166.16,159.43,160.76,160.246,30692100
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-09-01 04:00:00,156.72,162.85,154.47,162.75,162.229,28310300
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-09-08 04:00:00,163.81,170.66,161.75,167.8,167.263,33109700
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-09-15 04:00:00,169.11,191.85,168.53,190.1,189.492,56010600
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-09-22 04:00:00,193.19,205.2,192.43,203.92,203.268,47644800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-09-29 04:00:00,206.34,226.41,202.87,217.53,216.834,54684200
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-10-06 04:00:00,222.34,226.49,209,209.95,209.278,45841800
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-10-13 04:00:00,220.35,232.07,213.71,224.99,224.27,37162200
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-10-20 04:00:00,227.15,231.33,216.07,228.75,228.018,29899000
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-10-27 04:00:00,233,242.5,227.08,233.1,232.354,35425000
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-11-03 05:00:00,235.67,241.91,223.38,230.07,229.334,36459000
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-11-10 05:00:00,236.23,236.54,203.4,226.01,225.287,48587000
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment &amp; Materials,281263000000,2025-11-17 05:00:00,224.2,240.76,215.5,224.01,223.293,47612300
